Date,State,Cases,Deaths
2021,Alabama,896614,16455
2021,Alaska,156130,954
2021,Arizona,1381488,24229
2021,Arkansas,566486,9148
2021,California,5515613,76709
2021,Colorado,933257,10480
2021,Connecticut,510188,9160
2021,Delaware,180366,2286
2021,District of Columbia,94286,1211
2021,Florida,4166392,62504
2021,Georgia,1798497,30283
2021,Hawaii,109576,1087
2021,Idaho,319442,4163
2021,Illinois,2154058,31017
2021,Indiana,1250565,19037
2021,Iowa,575501,7858
2021,Kansas,520500,7030
2021,Kentucky,864599,12149
2021,Louisiana,828695,14986
2021,Maine,146736,1531
2021,Maryland,700789,11758
2021,Massachusetts,1140614,20273
2021,Michigan,1706355,28984
2021,Minnesota,1022352,10656
2021,Mississippi,543737,10450
2021,Missouri,1023310,16223
2021,Montana,197784,2907
2021,Nebraska,338257,3336
2021,Nevada,501181,8420
2021,New Hampshire,198667,1961
2021,New Jersey,1564253,29037
2021,New Mexico,350043,5857
2021,New York,3473970,58993
2021,North Carolina,1685504,19436
2021,North Dakota,174220,2057
2021,Ohio,2016095,29447
2021,Oklahoma,708938,11552
2021,Oregon,421263,5655
2021,Pennsylvania,2036424,36705
2021,Rhode Island,231096,3066
2021,South Carolina,975320,14636
2021,South Dakota,179204,2486
2021,Tennessee,1379917,20640
2021,Texas,4574881,76062
2021,Utah,637144,3787
2021,Vermont,64447,471
2021,Virginia,1118518,15587
2021,Washington,852824,9904
2021,West Virginia,328162,5336
2021,Wisconsin,1120669,11173
2021,Wyoming,115638,1526
